i;cost;availability;
0;0.105;1 ;
0.01;0.10395;0.993511 ;
0.02;0.1029;0.9870221 ;
0.03;0.10185;0.9805331 ;
0.04;0.1008;0.9740442 ;
0.05;0.09975;0.9675552 ;
0.06;0.0987;0.9610663 ;
0.07;0.09765;0.9545773 ;
0.08;0.0966;0.9480884 ;
0.09;0.09555;0.9415994 ;
0.1;0.0945;0.9351104 ;
0.11;0.09345;0.9286215 ;
0.12;0.0924;0.9221325 ;
0.13;0.09135;0.9156436 ;
0.14;0.0903;0.9091546 ;
0.15;0.08925;0.9026657 ;
0.16;0.0882;0.8961767 ;
0.17;0.08715;0.8896877 ;
0.18;0.0861;0.8831988 ;
0.19;0.08505;0.8767098 ;
0.2;0.084;0.8702209 ;
0.21;0.08295;0.8637319 ;
0.22;0.0819;0.857243 ;
0.23;0.08085;0.850754 ;
0.24;0.0798;0.8442651 ;
0.25;0.07875;0.8377761 ;
0.26;0.0777;0.8312871 ;
0.27;0.07665;0.8247982 ;
0.28;0.0756;0.8183092 ;
0.29;0.07455;0.8118203 ;
0.3;0.0735;0.8053313 ;
0.31;0.07245;0.7988424 ;
0.32;0.0714;0.7923534 ;
0.33;0.07035;0.7858644 ;
0.34;0.0693;0.7793755 ;
0.35;0.06825;0.7728865 ;
0.36;0.0672;0.7663976 ;
0.37;0.06615;0.7599086 ;
0.38;0.0651;0.7534197 ;
0.39;0.06405;0.7469307 ;
0.4;0.063;0.7404418 ;
0.41;0.06195;0.7339528 ;
0.42;0.0609;0.7274638 ;
0.43;0.05985;0.7209749 ;
0.44;0.0588;0.7144859 ;
0.45;0.05775;0.707997 ;
0.46;0.0567;0.701508 ;
0.47;0.05565;0.6950191 ;
0.48;0.0546;0.6885301 ;
0.49;0.05355;0.6820411 ;
0.5;0.0525;0.6755522 ;
0.51;0.05145;0.6690632 ;
0.52;0.0504;0.6625743 ;
0.53;0.04935;0.6560853 ;
0.54;0.0483;0.6495964 ;
0.55;0.04725;0.6431074 ;
0.56;0.0462;0.6366185 ;
0.57;0.04515;0.6301295 ;
0.58;0.0441;0.6236405 ;
0.59;0.04305;0.6171516 ;
0.6;0.042;0.6106626 ;
0.61;0.04095;0.6041737 ;
0.62;0.0399;0.5976847 ;
0.63;0.03885;0.5911958 ;
0.64;0.0378;0.5847068 ;
0.65;0.03675;0.5782179 ;
0.66;0.0357;0.5717289 ;
0.67;0.03465;0.5652399 ;
0.68;0.0336;0.558751 ;
0.69;0.03255;0.552262 ;
0.7;0.0315;0.5457731 ;